text,category
Ich habe meine monatliche Abrechnung noch nicht erhalten.,billing
Mobile data is extremely slow since the last update.,network
How can I track my order status?,other
I want to cancel my contract before the end of term.,contract
The payment I made hasn't been reflected in my account.,billing
Kann ich eine gedruckte Kopie meines Vertrags erhalten?,other
The discount promised wasn't applied to my bill.,billing
Ich habe häufige Trennungen vom Mobilfunknetz.,network
Meine Rechnung zeigt falsche Gebühren für die Datennutzung.,billing
Das Ersatzhandy das ich erhalten habe ist defekt.,device
Der bereitgestellte Router unterstützt meine Geräte nicht.,device
My invoice shows incorrect data usage fees.,billing
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
I have no signal in my area even though coverage map says otherwise.,network
My bill is higher than usual without explanation.,billing
Wie kann ich meine persönlichen Daten in meinem Konto aktualisieren?,other
Streaming videos buffer constantly due to poor connection.,network
Auf meiner letzten Rechnung wurde ein zusätzlicher Betrag von €13 berechnet.,billing
Where is the nearest store location?,other
Das Netzwerk ist in meiner gesamten Nachbarschaft ausgefallen.,network
What are the penalties for early termination?,contract
Can I get a printed copy of my contract?,other
Where can I find my invoice in the online portal?,other
Der versprochene Rabatt wurde nicht auf meine Rechnung angewendet.,billing
Mobile data is extremely slow since the last update.,network
Die Zahlung die ich getätigt habe wurde nicht auf meinem Konto verbucht.,billing
The payment I made hasn't been reflected in my account.,billing
Ich benötige eine Rückerstattung für den zu viel berechneten Betrag.,billing
Can I add a family member to my existing contract?,contract
Bieten Sie Dienstleistungen auf Englisch an?,other
Ich möchte meinen aktuellen Tarif sofort upgraden.,contract
My contract includes services I never ordered.,contract
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
Auf meiner letzten Rechnung wurde ein zusätzlicher Betrag von €195 berechnet.,billing
What are your customer service hours?,other
My device won't connect to the 5G network.,device
My contract renewal terms are unclear.,contract
Ich wurde ohne meine Zustimmung in einen neuen Tarif verschoben.,contract
Die Zahlung die ich getätigt habe wurde nicht auf meinem Konto verbucht.,billing
Welche Strafen fallen bei vorzeitiger Kündigung an?,contract
Wo finde ich meine Rechnung im Online-Portal?,other
My contract includes services I never ordered.,contract
Do you offer services in English?,other
I can't activate the eSIM on my new device.,device
I want to cancel my contract before the end of term.,contract
My upload speed is much lower than advertised.,network
Ich benötige eine Rückerstattung für den zu viel berechneten Betrag.,billing
My device won't connect to the 5G network.,device
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
Ich habe in meiner Gegend kein Signal obwohl die Abdeckungskarte etwas anderes sagt.,network
Is there a student discount available?,other
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
Kann ich eine gedruckte Kopie meines Vertrags erhalten?,other
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
My internet connection keeps dropping every few minutes.,network
How long does it take to process a refund?,other
The contract duration stated online differs from what I signed.,contract
The provided router doesn't support my devices.,device
Why was I billed for a service I didn't activate?,billing
Meine Rechnung ist ohne Erklärung höher als üblich.,billing
Anrufe brechen während des Gesprächs ständig ab.,network
Mein Handy erkennt die Magenta-SIM nicht.,device
Ich habe in meiner Gegend kein Signal obwohl die Abdeckungskarte etwas anderes sagt.,network
The discount promised wasn't applied to my bill.,billing
The new SIM card doesn't work in my smartphone.,device
Ich habe häufige Trennungen vom Mobilfunknetz.,network
I want to cancel my contract before the end of term.,contract
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
I haven't received my monthly statement yet.,billing
The new SIM card doesn't work in my smartphone.,device
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
I have no signal in my area even though coverage map says otherwise.,network
Ich wurde ohne meine Zustimmung in einen neuen Tarif verschoben.,contract
My tablet can't detect the WiFi network.,device
Kann ich ein Familienmitglied zu meinem bestehenden Vertrag hinzufügen?,contract
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
What documents are needed to open a new account?,other
What are your customer service hours?,other
My invoice shows incorrect data usage fees.,billing
Mein Handy erkennt die Magenta-SIM nicht.,device
Mobile data is extremely slow since the last update.,network
Kann ich ein Familienmitglied zu meinem bestehenden Vertrag hinzufügen?,contract
The provided router doesn't support my devices.,device
Ich habe meine SIM-Karte verloren und brauche einen Ersatz.,device
Meine Rechnung zeigt falsche Gebühren für die Datennutzung.,billing
I was moved to a new plan without my consent.,contract
Mobile data is extremely slow since the last update.,network
How can I switch to a different tariff plan?,contract
Can I add a family member to my existing contract?,contract
The Magenta app crashes whenever I open it on my phone.,device
Streaming videos buffer constantly due to poor connection.,network
Ich habe häufige Trennungen vom Mobilfunknetz.,network
How do I update my personal details in my account?,other
Streaming videos buffer constantly due to poor connection.,network
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
I can't send or receive SMS messages.,network
Mein Vertrag beinhaltet Dienstleistungen die ich nie bestellt habe.,contract
The contract duration stated online differs from what I signed.,contract
My tablet can't detect the WiFi network.,device
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
Where can I find my invoice in the online portal?,other
Mein Gerät verbindet sich nicht mit dem 5G-Netz.,device
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
Ich wurde ohne meine Zustimmung in einen neuen Tarif verschoben.,contract
Gibt es einen Studentenrabatt?,other
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
I haven't received my monthly statement yet.,billing
I want to upgrade my current plan immediately.,contract
I haven't received my monthly statement yet.,billing
What documents are needed to open a new account?,other
I was moved to a new plan without my consent.,contract
I was charged €38 extra on my last bill.,billing
Die neue SIM-Karte funktioniert nicht in meinem Smartphone.,device
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
How long does it take to process a refund?,other
My tablet can't detect the WiFi network.,device
Can I add a family member to my existing contract?,contract
Do you offer services in English?,other
I lost my SIM card and need a replacement.,device
Can I get a printed copy of my contract?,other
Meine Upload-Geschwindigkeit ist viel niedriger als angegeben.,network
Streaming videos buffer constantly due to poor connection.,network
Is there a student discount available?,other
Meine Internetverbindung bricht alle paar Minuten ab.,network
Mobile Daten sind seit dem letzten Update extrem langsam.,network
Meine Rechnung ist ohne Erklärung höher als üblich.,billing
My invoice shows incorrect data usage fees.,billing
Is there a student discount available?,other
What documents are needed to open a new account?,other
Ich möchte meinen Vertrag vor Ablauf der Laufzeit kündigen.,contract
My phone isn't recognizing the Magenta SIM.,device
Die Bedingungen zur Verlängerung meines Vertrags sind unklar.,contract
Der bereitgestellte Router unterstützt meine Geräte nicht.,device
Kann ich ein Familienmitglied zu meinem bestehenden Vertrag hinzufügen?,contract
The Magenta app crashes whenever I open it on my phone.,device
Welche Unterlagen werden für die Eröffnung eines neuen Kontos benötigt?,other
Mein Modem startet ständig neu.,device
The new SIM card doesn't work in my smartphone.,device
Ich möchte meinen Vertrag vor Ablauf der Laufzeit kündigen.,contract
Mein Handy erkennt die Magenta-SIM nicht.,device
My tablet can't detect the WiFi network.,device
I lost my SIM card and need a replacement.,device
My contract renewal terms are unclear.,contract
Wie kann ich zu einem anderen Tarif wechseln?,contract
Meine Internetverbindung bricht alle paar Minuten ab.,network
Mobile Daten sind seit dem letzten Update extrem langsam.,network
The provided router doesn't support my devices.,device
Es gibt eine doppelte Belastung für meinen Magenta-Tarif diesen Monat.,billing
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
I need a refund for the overcharged amount.,billing
Is there a student discount available?,other
Die Bedingungen zur Verlängerung meines Vertrags sind unklar.,contract
My device won't connect to the 5G network.,device
How long does it take to process a refund?,other
The discount promised wasn't applied to my bill.,billing
How can I switch to a different tariff plan?,contract
The contract duration stated online differs from what I signed.,contract
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
I was charged for international calls I didn't make.,billing
The Magenta app crashes whenever I open it on my phone.,device
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
Die neue SIM-Karte funktioniert nicht in meinem Smartphone.,device
Meine Internetverbindung bricht alle paar Minuten ab.,network
Ich möchte meinen aktuellen Tarif sofort upgraden.,contract
I need to transfer my number to a new provider.,contract
I need a refund for the overcharged amount.,billing
Mobile data is extremely slow since the last update.,network
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
Ich möchte meinen Vertrag vor Ablauf der Laufzeit kündigen.,contract
I want to upgrade my current plan immediately.,contract
My device won't connect to the 5G network.,device
Wie kann ich meine persönlichen Daten in meinem Konto aktualisieren?,other
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
Wo befindet sich die nächste Filiale?,other
I was charged €154 extra on my last bill.,billing
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
Mein Gerät verbindet sich nicht mit dem 5G-Netz.,device
Anrufe brechen während des Gesprächs ständig ab.,network
Das WLAN zu Hause ist nach dem Router-Firmware-Update instabil.,network
I haven't received my monthly statement yet.,billing
How do I update my personal details in my account?,other
Der bereitgestellte Router unterstützt meine Geräte nicht.,device
Die online angegebene Vertragslaufzeit weicht von dem ab was ich unterschrieben habe.,contract
Mobile Daten sind seit dem letzten Update extrem langsam.,network
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
Die online angegebene Vertragslaufzeit weicht von dem ab was ich unterschrieben habe.,contract
Calls keep cutting out during conversations.,network
Welche Unterlagen werden für die Eröffnung eines neuen Kontos benötigt?,other
I want to cancel my contract before the end of term.,contract
My upload speed is much lower than advertised.,network
My phone isn't recognizing the Magenta SIM.,device
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
How long does it take to process a refund?,other
My bill is higher than usual without explanation.,billing
My upload speed is much lower than advertised.,network
The replacement handset I received is defective.,device
I need to transfer my number to a new provider.,contract
I have no signal in my area even though coverage map says otherwise.,network
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
The provided router doesn't support my devices.,device
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
My modem keeps rebooting by itself.,device
The WiFi at home is unstable after the router firmware update.,network
My internet connection keeps dropping every few minutes.,network
I can't send or receive SMS messages.,network
Das Ersatzhandy das ich erhalten habe ist defekt.,device
Mein Modem startet ständig neu.,device
Kann ich ein Familienmitglied zu meinem bestehenden Vertrag hinzufügen?,contract
Ich benötige eine Rückerstattung für den zu viel berechneten Betrag.,billing
Streaming videos buffer constantly due to poor connection.,network
I was moved to a new plan without my consent.,contract
Ich möchte meinen aktuellen Tarif sofort upgraden.,contract
I can't send or receive SMS messages.,network
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
I was charged for international calls I didn't make.,billing
Das WLAN zu Hause ist nach dem Router-Firmware-Update instabil.,network
Ich habe häufige Trennungen vom Mobilfunknetz.,network
Calls keep cutting out during conversations.,network
Das WLAN zu Hause ist nach dem Router-Firmware-Update instabil.,network
Was sind Ihre Kundenservice-Zeiten?,other
My tablet can't detect the WiFi network.,device
Can I get a printed copy of my contract?,other
Mobile Daten sind seit dem letzten Update extrem langsam.,network
The replacement handset I received is defective.,device
Die online angegebene Vertragslaufzeit weicht von dem ab was ich unterschrieben habe.,contract
Wie kann ich zu einem anderen Tarif wechseln?,contract
Is there a student discount available?,other
My bill is higher than usual without explanation.,billing
Anrufe brechen während des Gesprächs ständig ab.,network
Anrufe brechen während des Gesprächs ständig ab.,network
I was charged for international calls I didn't make.,billing
My phone isn't recognizing the Magenta SIM.,device
Kann ich eine gedruckte Kopie meines Vertrags erhalten?,other
There's a double charge for my Magenta plan this month.,billing
My upload speed is much lower than advertised.,network
The payment I made hasn't been reflected in my account.,billing
My phone isn't recognizing the Magenta SIM.,device
The payment I made hasn't been reflected in my account.,billing
Der versprochene Rabatt wurde nicht auf meine Rechnung angewendet.,billing
Where can I find my invoice in the online portal?,other
Gibt es einen Studentenrabatt?,other
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
Wo befindet sich die nächste Filiale?,other
The provided router doesn't support my devices.,device
My device won't connect to the 5G network.,device
Can I add a family member to my existing contract?,contract
Ich kann die eSIM auf meinem neuen Gerät nicht aktivieren.,device
I was charged €171 extra on my last bill.,billing
Ich habe in meiner Gegend kein Signal obwohl die Abdeckungskarte etwas anderes sagt.,network
My upload speed is much lower than advertised.,network
I need to transfer my number to a new provider.,contract
Die neue SIM-Karte funktioniert nicht in meinem Smartphone.,device
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
I need to transfer my number to a new provider.,contract
Meine Rechnung ist ohne Erklärung höher als üblich.,billing
Welche Strafen fallen bei vorzeitiger Kündigung an?,contract
I was charged €113 extra on my last bill.,billing
Mobile data is extremely slow since the last update.,network
The payment I made hasn't been reflected in my account.,billing
Warum wurde mir ein Service berechnet den ich nicht aktiviert habe?,billing
Mein Modem startet ständig neu.,device
Ich benötige eine Rückerstattung für den zu viel berechneten Betrag.,billing
Can I add a family member to my existing contract?,contract
How long does it take to process a refund?,other
Bieten Sie Dienstleistungen auf Englisch an?,other
I need to transfer my number to a new provider.,contract
How do I update my personal details in my account?,other
The payment I made hasn't been reflected in my account.,billing
Is there a student discount available?,other
Meine Rechnung zeigt falsche Gebühren für die Datennutzung.,billing
How can I switch to a different tariff plan?,contract
Wo finde ich meine Rechnung im Online-Portal?,other
Kann ich eine gedruckte Kopie meines Vertrags erhalten?,other
How can I track my order status?,other
The payment I made hasn't been reflected in my account.,billing
Mir wurden internationale Anrufe berechnet die ich nicht geführt habe.,billing
The new SIM card doesn't work in my smartphone.,device
I lost my SIM card and need a replacement.,device
I want to cancel my contract before the end of term.,contract
My contract renewal terms are unclear.,contract
Why was I billed for a service I didn't activate?,billing
Anrufe brechen während des Gesprächs ständig ab.,network
My invoice shows incorrect data usage fees.,billing
Ich muss meine Nummer zu einem neuen Anbieter portieren.,contract
I lost my SIM card and need a replacement.,device
Meine Rechnung zeigt falsche Gebühren für die Datennutzung.,billing
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
Kann ich eine gedruckte Kopie meines Vertrags erhalten?,other
I lost my SIM card and need a replacement.,device
Calls keep cutting out during conversations.,network
Kann ich ein Familienmitglied zu meinem bestehenden Vertrag hinzufügen?,contract
Ich habe in meiner Gegend kein Signal obwohl die Abdeckungskarte etwas anderes sagt.,network
The discount promised wasn't applied to my bill.,billing
Where can I find my invoice in the online portal?,other
Welche Unterlagen werden für die Eröffnung eines neuen Kontos benötigt?,other
Do you offer services in English?,other
The replacement handset I received is defective.,device
Mein Modem startet ständig neu.,device
I want to upgrade my current plan immediately.,contract
I lost my SIM card and need a replacement.,device
Wie lange dauert die Bearbeitung einer Rückerstattung?,other
Der bereitgestellte Router unterstützt meine Geräte nicht.,device
Ich habe meine monatliche Abrechnung noch nicht erhalten.,billing
Das Streamen von Videos puffert ständig aufgrund schlechter Verbindung.,network
Das WLAN zu Hause ist nach dem Router-Firmware-Update instabil.,network
My bill is higher than usual without explanation.,billing
Is there a student discount available?,other
Meine Rechnung ist ohne Erklärung höher als üblich.,billing
How do I update my personal details in my account?,other
Warum wurde mir ein Service berechnet den ich nicht aktiviert habe?,billing
Why was I billed for a service I didn't activate?,billing
Ich habe häufige Trennungen vom Mobilfunknetz.,network
Die online angegebene Vertragslaufzeit weicht von dem ab was ich unterschrieben habe.,contract
The new SIM card doesn't work in my smartphone.,device
Anrufe brechen während des Gesprächs ständig ab.,network
I have no signal in my area even though coverage map says otherwise.,network
Wo befindet sich die nächste Filiale?,other
Ich habe häufige Trennungen vom Mobilfunknetz.,network
Das WLAN zu Hause ist nach dem Router-Firmware-Update instabil.,network
The discount promised wasn't applied to my bill.,billing
What are your customer service hours?,other
I need to transfer my number to a new provider.,contract
Meine Rechnung ist ohne Erklärung höher als üblich.,billing
Can I get a printed copy of my contract?,other
Where can I find my invoice in the online portal?,other
Das Netzwerk ist in meiner gesamten Nachbarschaft ausgefallen.,network
Ich habe meine monatliche Abrechnung noch nicht erhalten.,billing
I haven't received my monthly statement yet.,billing
Mein Modem startet ständig neu.,device
I was charged for international calls I didn't make.,billing
My bill is higher than usual without explanation.,billing
How can I switch to a different tariff plan?,contract
I experience frequent disconnections from the mobile network.,network
I can't send or receive SMS messages.,network
My device won't connect to the 5G network.,device
Das Ersatzhandy das ich erhalten habe ist defekt.,device
Welche Strafen fallen bei vorzeitiger Kündigung an?,contract
Die Bedingungen zur Verlängerung meines Vertrags sind unklar.,contract
The payment I made hasn't been reflected in my account.,billing
The payment I made hasn't been reflected in my account.,billing
Where is the nearest store location?,other
Ich möchte meinen Vertrag vor Ablauf der Laufzeit kündigen.,contract
Die Zahlung die ich getätigt habe wurde nicht auf meinem Konto verbucht.,billing
Mein Handy erkennt die Magenta-SIM nicht.,device
Kann ich ein Familienmitglied zu meinem bestehenden Vertrag hinzufügen?,contract
Wie kann ich meine persönlichen Daten in meinem Konto aktualisieren?,other
My modem keeps rebooting by itself.,device
Ich möchte meinen Vertrag vor Ablauf der Laufzeit kündigen.,contract
How do I update my personal details in my account?,other
Mein Handy erkennt die Magenta-SIM nicht.,device
How long does it take to process a refund?,other
Mobile Daten sind seit dem letzten Update extrem langsam.,network
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
Die online angegebene Vertragslaufzeit weicht von dem ab was ich unterschrieben habe.,contract
Das Ersatzhandy das ich erhalten habe ist defekt.,device
My device won't connect to the 5G network.,device
Meine Upload-Geschwindigkeit ist viel niedriger als angegeben.,network
Wo finde ich meine Rechnung im Online-Portal?,other
My upload speed is much lower than advertised.,network
Die Magenta-App stürzt ab sobald ich sie auf meinem Handy öffne.,device
Das Ersatzhandy das ich erhalten habe ist defekt.,device
I was charged €147 extra on my last bill.,billing
What are the penalties for early termination?,contract
Das Streamen von Videos puffert ständig aufgrund schlechter Verbindung.,network
Das WLAN zu Hause ist nach dem Router-Firmware-Update instabil.,network
Calls keep cutting out during conversations.,network
The replacement handset I received is defective.,device
Can I add a family member to my existing contract?,contract
The WiFi at home is unstable after the router firmware update.,network
Meine Internetverbindung bricht alle paar Minuten ab.,network
I want to cancel my contract before the end of term.,contract
My phone isn't recognizing the Magenta SIM.,device
I want to cancel my contract before the end of term.,contract
Meine Upload-Geschwindigkeit ist viel niedriger als angegeben.,network
Die neue SIM-Karte funktioniert nicht in meinem Smartphone.,device
Mobile data is extremely slow since the last update.,network
Ich habe meine SIM-Karte verloren und brauche einen Ersatz.,device
I want to upgrade my current plan immediately.,contract
Ich kann keine SMS-Nachrichten senden oder empfangen.,network
Do you offer services in English?,other
Can I get a printed copy of my contract?,other
Bieten Sie Dienstleistungen auf Englisch an?,other
I was charged €105 extra on my last bill.,billing
Mein Handy erkennt die Magenta-SIM nicht.,device
There's a double charge for my Magenta plan this month.,billing
The replacement handset I received is defective.,device
How do I update my personal details in my account?,other
Kann ich eine gedruckte Kopie meines Vertrags erhalten?,other
Wie kann ich meine persönlichen Daten in meinem Konto aktualisieren?,other
Ich wurde ohne meine Zustimmung in einen neuen Tarif verschoben.,contract
Welche Unterlagen werden für die Eröffnung eines neuen Kontos benötigt?,other
My internet is not working after the latest update.,network
I was billed twice for the same month.,billing
How do I change my billing address?,other
I want to downgrade my plan.,contract
My phone screen is cracked and needs repair.,device
